No.,Title,Link
141,Waders (Scolopacidae) surviving despite malaligned leg fractures in the wild: kinematics of bipedal locomotion,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0082-5
142,Function of note strings in Japanese Tit alarm calls to the Common Cuckoo: a playback experiment,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0080-7
143,Identification of vocal individuality in male cuckoos using different analytical techniques,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0079-0
144,Springtime migratory restlessness and departure orientation of Great Knots (Calidris tenuirostris) in the south compared to the north Yellow Sea,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0078-1
145,Incubation strategies of the Black-necked Crane (Grus nigricollis) in relation to ambient temperature and time of day,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0076-3
146,Life-history dependent relationships between plasma alkaline phosphatase activity and body condition in male Eurasian Tree Sparrows,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0075-4
147,Assigning hatchlings to eggs: Is relative mass assignment an accurate method?,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0077-2
148,Traditional fishing activities enhance the abundance of selected waterbird species in a wetland in India,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0073-6
149,Brood sex ratio in the Yellow-bellied Prinia (Prinia flaviventris),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0074-5
150,Fashion and out of fashion: appearance and disappearance of a novel nest building innovation,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0072-7
151,Characterization of novel microsatellite markers of the Emei Shan Liocichla using restriction site-associated DNA sequencing,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0071-8
152,Avian influenza virus ecology in wild birds of Western Siberia,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0070-9
153,"Orange River Francolins (Scleroptila levaillantoides) persist in fragmented Highveld farming landscapes, South Africa",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0069-2
154,Do migrant and resident species differ in the timing of increases in reproductive and thyroid hormone secretion and body mass? A case study in the comparison of pre-breeding physiological rhythms in the Eurasian Skylark and Asian Short-toed Lark,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0068-3
155,"Effect of sex, temperature, time and flock size on the diving behavior of the wintering Scaly-sided Merganser (Mergus squamatus)",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0067-4
156,"Post-breeding habitat association and occurrence of the Snow Partridge (Lerwa lerwa) on the Qinghai-Tibetan Plateau, west central China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0066-5
157,A revised species population estimate for the Bar-headed Goose (Anser indicus),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-017-0064-7
